OBJECTID,CODE,TYPELOCAL,NOM,SERV_ECOLE,SERV_POSTE,SERV_DOUAN,SERV_GENDA,SERV_HOPIT,SERV_INFR_,SERV_MUSUL,SERV_CHRET,SERV_CHAT_,SERV_PT_EA,SERV_ANT_H,SERV_EOLIE,SERV_PUITS,THEME,PAYS,IDUU,longitude,latitude
"1","4600020","1",Banjul,"0","0","0","0","0","0","0","0","0","0","0","0","0",LA,GM,42928e6a-1630-4395-8a0e-db1814814d8f,317429.0000000,1485943.0000000
"2","4600020","1",Dakar,"1","1","1","1","1","1","1","1","1","0","1","0","0",LA,SN,0924065a-c1a7-46c0-862d-70acfdbea2f1,235684.0000000,1628054.0000000
"3","4600030","2",Kolda,"1","1","1","1","1","0","1","1","1","0","1","0","0",LA,SN,30bc82da-fc3f-40e7-bc4d-ac393492b22c,506433.0000000,1425221.0000000
"4","4600030","2",Tambacounda,"1","1","1","1","1","0","1","1","1","0","1","0","0",LA,SN,76a6fcb7-fc27-455f-88c1-9e9a993c220a,643821.0000000,1523281.0000000
"5","4600030","2",Kaolack,"1","1","0","1","1","0","1","1","1","0","1","0","0",LA,SN,c3c5f038-c511-4aa9-823e-92294fff54f1,383845.0000000,1563355.0000000
"6","4600030","2",Fatick,"1","1","0","1","1","0","1","1","1","0","0","0","0",LA,SN,c8fbafaf-0e19-4888-843d-e4edc9e9ac85,348560.0000000,1584335.0000000
"7","4600030","2",Diourbel,"1","1","0","1","1","0","1","1","1","0","1","0","0",LA,SN,4877656a-d3b8-498f-a694-cdafa1e116f0,367495.0000000,1620714.0000000
"8","4600030","2",Thiès,"1","1","0","1","1","0","1","1","1","0","0","0","0",LA,SN,ac97460e-417f-497c-ab8e-3605ce436f15,292689.0000000,1636102.0000000
"9","4600030","2",Louga,"1","1","0","1","1","0","1","1","1","0","1","0","0",LA,SN,49b11339-c774-4ab3-8286-c6fed950cf75,368623.0000000,1727770.0000000
"10","4600030","2",Matam,"1","1","1","1","0","1","1","0","1","0","1","0","0",LA,SN,0ef90330-c62c-4a0b-b220-0bf4380e8e24,687070.0000000,1732086.0000000
"11","4600030","2",Saint-Louis,"1","1","1","1","1","1","1","1","0","0","0","0","0",LA,SN,96e29db1-1046-419e-be33-97c875edab68,340358.0000000,1771894.0000000
"12","4600040","3",Oussouye,"1","1","1","1","0","1","1","1","1","0","1","0","0",LA,SN,9ee946bc-1a80-4f61-8689-c441f3aa9613,332160.0000000,1380870.0000000
